NGC,Messier,Name,Type,Constellation,Magnitude,Distance,RA,Dec,Width,Height,PosAng
NGC 4382,M85,-,Lenticular (S0) Galaxy,Coma Berenices,9.1,60000000,12.423333333333336,18.183333333333334,7.1,5.2,0.0
NGC 4406,M86,-,Lenticular (S0) Galaxy,Virgo,8.9,60000000,12.436666666666667,12.95,7.5,5.5,0.0
NGC 4486,M87,Virgo A,Elliptical Galaxy,Virgo,8.6,60000000,12.513333333333335,12.4,7.0,7.0,0.0
NGC 4501,M88,-,Spiral Galaxy,Coma Berenices,9.6,60000000,12.533333333333331,14.416666666666664,7.0,4.0,0.0
NGC 4552,M89,-,Elliptical Galaxy,Virgo,9.8,60000000,12.595,12.55,4.0,4.0,0.0
NGC 4569,M90,-,Spiral Galaxy,Virgo,9.5,60000000,12.613333333333332,13.166666666666664,9.5,4.5,0.0
NGC 4548,M91,-,Spiral Galaxy,Coma Berenices,10.2,60000000,12.59,14.5,5.4,4.4,0.0
NGC 6341,M92,-,Globular Cluster,Hercules,6.4,26400,17.285,43.13333333333333,11.2,11.2,0.0
NGC 2447,M93,-,Open Cluster,Puppis,6.0,3600,7.743333333333332,-23.86666666666667,22.0,22.0,0.0
NGC 4736,M94,-,Spiral Galaxy,Canes Venatici,8.2,14500000,12.848333333333333,41.11666666666667,7.0,3.0,0.0
NGC 3351,M95,-,Spiral Galaxy,Leo,9.7,38000000,10.733333333333333,11.7,4.4,3.3,0.0
NGC 3368,M96,-,Spiral Galaxy,Leo,9.2,38000000,10.78,11.816666666666665,6.0,4.0,0.0
NGC 3587,M97,Owl Nebula,Planetary Nebula,Ursa Major,9.9,2600,11.246666666666664,55.01666666666666,3.4,3.3,0.0
NGC 4192,M98,-,Spiral Galaxy,Coma Berenices,10.1,60000000,12.23,14.9,9.5,3.2,0.0
NGC 4254,M99,-,Spiral Galaxy,Coma Berenices,9.9,60000000,12.313333333333333,14.416666666666664,5.4,4.8,0.0
NGC 4321,M100,-,Spiral Galaxy,Coma Berenices,9.3,60000000,12.381666666666666,15.816666666666665,7.0,6.0,0.0
NGC 5457,M101,Pinwheel Galaxy,Spiral Galaxy,Ursa Major,7.9,27000000,14.053333333333333,54.35,22.0,22.0,0.0
NGC 5866,M102,Spindle Galaxy,Lenticular (S0) Galaxy,Draco,9.9,40000000,15.108333333333333,55.76666666666666,5.2,2.3,0.0
NGC 581,M103,-,Open Cluster,Cassiopeia,7.4,8000,1.5533333333333332,60.7,6.0,6.0,0.0
NGC 4594,M104,Sombrero Galaxy,Spiral Galaxy,Virgo,8.0,50000000,12.666666666666664,-11.616666666666667,9.0,4.0,0.0
NGC 3379,M105,-,Elliptical Galaxy,Leo,9.3,38000000,10.796666666666669,12.583333333333336,2.0,2.0,0.0
NGC 4258,M106,-,Spiral Galaxy,Canes Venatici,8.4,25000000,12.316666666666665,47.3,19.0,8.0,0.0
NGC 6171,M107,-,Globular Cluster,Ophiucus,7.9,19600,16.541666666666668,-13.05,10.0,10.0,0.0
NGC 3556,M108,-,Spiral Galaxy,Ursa Major,10.0,45000000,11.191666666666665,55.66666666666666,8.0,1.0,0.0
NGC 3992,M109,-,Spiral Galaxy,Ursa Major,9.8,55000000,11.96,53.38333333333333,7.0,4.0,0.0
NGC 205,M110,Satellite of M31,Elliptical Galaxy,Andromeda,8.5,2900000,0.6733333333333333,41.68333333333333,17.0,10.0,0.0
