NGC,Name,Type,Constellation,Magnitude,RA,Dec,Size
I4993,,,Pav,,20.366666666666667,-67.0,
I1318,gamma Cyg nebula,,Cyg,,20.37,40.25,240.0
I4998,,Gx,Sgr,,20.37,-38.3,1.7
I5018,,Gx,Sgr,,20.37,-38.3,1.7
6901,,Gx,Aql,15.0,20.371666666666666,6.45,
6905,,Pl,Del,12.0,20.373333333333335,20.116666666666667,1.7
I1316,,,Aql,,20.373333333333335,6.533333333333333,
I5000,,Gx,Aql,,20.373333333333335,6.433333333333334,1.5
6910,,OC,Cyg,7.4,20.385,40.78333333333333,8.0
I1317,,Gx,Aql,13.4,20.388333333333332,0.6666666666666666,0.9
6916,,Gx,Cyg,15.0,20.391666666666666,58.36666666666667,
I4992,,Gx,Pav,,20.391666666666666,-71.56666666666666,2.0
6903,,Gx,Cap,13.0,20.393333333333334,-19.316666666666666,
6906,,Gx,Aql,12.7,20.393333333333334,6.45,1.8
I5006,,Gx,Aql,12.0,20.395,6.45,1.6
6913,M  29,OC,Cyg,6.6,20.398333333333333,38.53333333333333,7.0
I4999,,Gx,Cap,,20.398333333333333,-26.016666666666666,1.9
6899,,Gx,Tel,,20.406666666666666,-50.43333333333333,1.9
6902,,Gx,Sgr,13.0,20.408333333333335,-43.65,2.2
6914,,Nb,Cyg,,20.411666666666665,42.483333333333334,13.0
6907,,Gx,Cap,11.3,20.418333333333333,-24.816666666666666,3.4
6908,,-,Cap,,20.42,-24.8,
I5003,,,Sgr,,20.42,-29.866666666666667,
I5005,,Gx,Cap,,20.421666666666667,-25.833333333333332,2.3
I5004,,,Sgr,,20.423333333333332,-30.866666666666667,
I5007,,,Sgr,,20.426666666666666,-29.7,
I1319,,Gx,Cap,14.0,20.433333333333334,-18.516666666666666,0.6
I5001,,Gx,Tel,,20.438333333333333,-54.78333333333333,1.3
I1320,,Gx,Del,14.0,20.44,2.9166666666666665,1.0
I5002,,Gx,Tel,,20.445,-54.8,1.6
6912,,Gx,Cap,14.0,20.448333333333334,-18.633333333333333,1.6
6917,,Gx,Del,14.0,20.456666666666667,8.1,
6909,,Gx,Tel,13.0,20.461666666666666,-47.03333333333333,2.3
6915,,Gx,Aql,,20.463333333333335,-3.0833333333333335,1.2
I1321,,Gx,Cap,15.0,20.47,-18.3,0.6
6921,,Gx,Vul,15.0,20.475,25.716666666666665,1.1
I5011,,Gx,Mic,,20.476666666666667,-36.03333333333333,2.2
I5013,,Gx,Mic,,20.476666666666667,-36.03333333333333,2.2
I5015,,,Mic,,20.476666666666667,-31.7,
I5012,,Gx,Pav,,20.491666666666667,-56.75,1.4
6922,,Gx,Aql,14.0,20.498333333333335,-2.183333333333333,
I1322,,,Cap,,20.501666666666665,-15.216666666666667,
I1323,,D*,Cap,,20.508333333333333,-15.183333333333334,
I5020,,Gx,Mic,13.0,20.51,-33.483333333333334,
6918,,Gx,Ind,,20.513333333333332,-47.46666666666667,1.0
I5019,,Gx,Mic,,20.513333333333332,-36.083333333333336,2.0
I5010,,,Pav,,20.516666666666666,-65.91666666666667,
